longitude,latitude,month,year,temperature_min,temperature_max,temperature_avg
42.5,39.5,1.0,2015.0,-12.165860176086426,0.34737062454223633,-5.440061569213867
42.5,39.5,1.0,2016.0,-13.31171564757824,-1.775588482618332,-7.585363708436489
42.5,39.5,1.0,2017.0,-16.590456008911133,-4.768373966217041,-10.51444673538208
42.5,39.5,1.0,2018.0,-9.464206457138062,2.0114853382110596,-3.681777000427246
42.5,39.5,1.0,2019.0,-11.682998180389404,-0.021356821060180664,-5.8249698877334595
41.5,39.5,2.0,2012.0,-17.04293966293335,-4.2476993799209595,-10.607920408248901
41.5,39.5,2.0,2016.0,-10.317205905914307,1.6229928731918335,-4.61359977722168
43.5,40.5,1.0,2010.0,-7.806727886199951,2.842618227005005,-2.523080825805664
43.5,40.5,1.0,2011.0,-10.864678859710693,1.248262882232666,-4.97702693939209
43.5,40.5,1.0,2012.0,-12.638352856040001,-0.35665667057037354,-6.4040460884571075
43.5,40.5,1.0,2013.0,-11.510868966579437,0.49778711795806885,-5.587481617927551
43.5,40.5,1.0,2014.0,-12.663381144404411,-0.534343421459198,-6.717040337622166
43.5,40.5,1.0,2015.0,-11.074219226837158,1.7358558177947998,-4.450917959213257
43.5,40.5,1.0,2016.0,-12.07336249947548,-0.45699429512023926,-6.237651169300079
43.5,40.5,1.0,2017.0,-15.77929973602295,-3.766240358352661,-9.926106691360474
43.5,40.5,1.0,2018.0,-9.003278255462646,2.321106433868408,-3.0514042377471924
43.5,40.5,1.0,2019.0,-10.540759563446045,1.4451630115509033,-4.462047100067139
42.5,40.5,2.0,2012.0,-16.66463279724121,-3.950210928916931,-10.285089254379272
42.5,40.5,2.0,2016.0,-9.415362119674683,2.5385035276412964,-3.5130624771118164
41.5,40.5,1.0,2010.0,-7.895016670227051,2.5014801025390625,-2.9328463077545166
41.5,40.5,1.0,2011.0,-10.731953740119934,1.289219617843628,-4.723968982696533
41.5,40.5,1.0,2012.0,-12.605784565210342,-1.0063478648662567,-6.880445435643196
41.5,40.5,1.0,2013.0,-11.265365540981293,-0.14016187191009521,-5.562895655632019
41.5,40.5,1.0,2014.0,-12.064148187637329,0.336603045463562,-6.77932208776474
41.5,40.5,1.0,2015.0,-11.421582698822021,0.5013067722320557,-5.110236883163452
41.5,40.5,1.0,2016.0,-12.494624182581902,-1.4118587449193,-7.186620116233826
41.5,40.5,1.0,2017.0,-14.638970851898193,-3.1553454399108887,-9.271479606628418
41.5,40.5,1.0,2018.0,-8.985004663467407,1.8184151649475098,-3.5262978076934814
41.5,40.5,1.0,2019.0,-10.979809522628784,0.6769030094146729,-5.506075382232666
43.5,41.5,1.0,2010.0,-8.245619535446167,2.2966939210891724,-3.1173741817474365
43.5,41.5,1.0,2011.0,-10.30981433391571,1.387778639793396,-4.837277770042419
43.5,41.5,1.0,2012.0,-12.520732998847961,-0.5583021342754364,-6.597607992589474
43.5,41.5,1.0,2013.0,-11.010168373584747,0.8083202838897705,-5.043576002120972
43.5,41.5,1.0,2014.0,-12.02661406621337,0.14601218700408936,-6.065671056509018
43.5,41.5,1.0,2015.0,-10.536854267120361,1.723263144493103,-4.30233359336853
43.5,41.5,1.0,2016.0,-11.602081269025803,-0.36823973059654236,-5.8061763644218445
43.5,41.5,1.0,2017.0,-14.39880108833313,-2.2121270895004272,-8.652335166931152
43.5,41.5,1.0,2018.0,-8.796499013900757,1.861026644706726,-3.1749491691589355
43.5,41.5,1.0,2019.0,-9.997720003128052,1.7665506601333618,-4.006460905075073
44.5,40.5,1.0,2010.0,-7.620064735412598,3.1063730120658875,-2.0828709602355957
44.5,40.5,1.0,2011.0,-10.269325375556946,1.614459216594696,-4.707000136375427
44.5,40.5,1.0,2012.0,-11.851030059158802,0.30897414684295654,-5.72192656993866
44.5,40.5,1.0,2013.0,-10.76296079158783,1.6311361193656921,-4.634385466575623
44.5,40.5,1.0,2014.0,-11.97483505308628,0.20230978727340698,-5.848645210266113
44.5,40.5,1.0,2015.0,-10.246132612228394,2.44768089056015,-3.6815860271453857
44.5,40.5,1.0,2016.0,-11.077386021614075,0.6830413937568665,-5.120424866676331
44.5,40.5,1.0,2017.0,-14.643800973892212,-1.9431801438331604,-8.645331859588623
44.5,40.5,1.0,2018.0,-8.36784315109253,3.0538808703422546,-2.403775691986084
44.5,40.5,1.0,2019.0,-9.613497257232666,2.6907078623771667,-3.122241497039795
44.5,38.5,1.0,2010.0,-6.856536388397217,4.482327103614807,-1.4120697975158691
44.5,38.5,1.0,2011.0,-10.603747725486755,0.7774980068206787,-4.778461933135986
44.5,38.5,1.0,2012.0,-11.315218567848206,1.3219002485275269,-4.966863512992859
44.5,38.5,1.0,2013.0,-10.350712537765503,1.863881230354309,-4.585019111633301
44.5,38.5,1.0,2014.0,-11.717144966125488,0.22099506855010986,-6.076000355184078
44.5,38.5,1.0,2015.0,-10.274643063545227,3.1561447381973267,-3.499847650527954
44.5,38.5,1.0,2016.0,-11.422936499118805,0.8744931221008301,-5.312426209449768
44.5,38.5,1.0,2017.0,-15.039136171340942,-3.1914998292922974,-8.99340295791626
44.5,38.5,1.0,2018.0,-8.77285385131836,3.5856767892837524,-2.368023157119751
44.5,38.5,1.0,2019.0,-9.948957324028015,2.3168169260025024,-3.896008014678955
43.5,39.5,2.0,2012.0,-15.69097900390625,-2.378842055797577,-8.761855840682983
43.5,39.5,2.0,2016.0,-8.52500295639038,3.8329829573631287,-2.5351576805114746
40.5,39.5,1.0,2010.0,-7.0672478675842285,2.8946417570114136,-2.152458667755127
40.5,39.5,1.0,2011.0,-9.798561334609985,2.0902827978134155,-3.6439342498779297
40.5,39.5,1.0,2012.0,-11.41185050457716,-0.5810766667127609,-6.140810906887054
40.5,39.5,1.0,2013.0,-10.821837306022644,0.11333680152893066,-4.739365220069885
40.5,39.5,1.0,2014.0,-11.032599419355392,1.8258970975875854,-5.542998105287552
40.5,39.5,1.0,2015.0,-11.240831658244133,0.0032770633697509766,-4.647934913635254
40.5,39.5,1.0,2016.0,-11.981547176837921,-1.3316541910171509,-6.8080894947052
40.5,39.5,1.0,2017.0,-13.548477411270142,-1.8491532802581787,-7.653488278388977
40.5,39.5,1.0,2018.0,-7.580339670181274,2.9809504747390747,-2.4879791736602783
40.5,39.5,1.0,2019.0,-10.280589580535889,0.5057158470153809,-5.03780722618103
42.5,39.5,2.0,2012.0,-15.50757360458374,-2.4517220705747604,-8.845037698745728
42.5,39.5,2.0,2016.0,-8.56610631942749,3.5902863293886185,-2.72530198097229
42.5,41.5,1.0,2010.0,-7.12054443359375,3.4528666995465755,-2.1527726650238037
42.5,41.5,1.0,2011.0,-9.569727659225464,2.327536728233099,-3.815482497215271
42.5,41.5,1.0,2012.0,-11.819997489452362,0.10142241045832634,-5.825925573706627
42.5,41.5,1.0,2013.0,-10.103917837142944,1.3002448342740536,-4.4410340785980225
42.5,41.5,1.0,2014.0,-11.085254117846489,1.1099895499646664,-5.421217054128647
42.5,41.5,1.0,2015.0,-9.830881834030151,2.3558837436139584,-3.6649755239486694
42.5,41.5,1.0,2016.0,-11.14286057651043,-0.016393075697124004,-5.504074051976204
42.5,41.5,1.0,2017.0,-13.730839967727661,-2.0497044064104557,-8.282468557357788
42.5,41.5,1.0,2018.0,-8.163252115249634,2.5684484504163265,-2.491914749145508
